header,title,published,summary,link,id,com_or_sub
Musikhochschule Luzern,Mit Musik gegen den Krieg anspielen,2022-03-13 12:02:00+00:00,"In Luzern spielen Musikerinnen und Musiker aus Russland, Belarus und der Ukraine zusammen, um … Eigentlich ist es ganz normal, dass an der Hochschule Musik in Luzern Studentinnen und Studenten …",https://www.srf.ch/news/schweiz/musikhochschule-luzern-mit-musik-gegen-den-krieg-anspielen,https://www.srf.ch/news/schweiz/musikhochschule-luzern-mit-musik-gegen-den-krieg-anspielen,sub
2:2 im Wankdorf,Luzerner Gewaltsschuss bringt YB um den Sieg,2022-03-05 20:01:00+00:00,Die Young Boys kommen in der 25. Super-League-Runde zuhause gegen Luzern … und kamen selbst kaum zu Chancen. Die Luzerner ihrerseits lange auch nicht zu zwingenden …,https://www.srf.ch/sport/fussball/super-league/2-2-im-wankdorf-luzerner-gewaltsschuss-bringt-yb-um-den-sieg,https://www.srf.ch/sport/fussball/super-league/2-2-im-wankdorf-luzerner-gewaltsschuss-bringt-yb-um-den-sieg,sub
Vorschau YB-Luzern ,Finden die Young Boys gegen Luzern zum Selbstvertrauen zurück?,2022-03-05 09:17:00+00:00,In der 25. Super-League-Runde gastiert Luzern im Berner Wankdorf. 3 … zuhause gegen den Tabellenvorletzten aus Luzern wettzumachen. 3 Fragen sind im Vorfeld …,https://www.srf.ch/sport/fussball/super-league/vorschau-yb-luzern-finden-die-young-boys-gegen-luzern-zum-selbstvertrauen-zurueck,https://www.srf.ch/sport/fussball/super-league/vorschau-yb-luzern-finden-die-young-boys-gegen-luzern-zum-selbstvertrauen-zurueck,sub
2:0-Sieg in Luzern,Der FCZ marschiert weiter unaufhaltsam Richtung Titel,2022-03-02 22:25:00+00:00,"Der FC Zürich feiert in der 24. Runde der Super League auswärts gegen Luzern einen … Mal beim Vorletzten der Tabelle in Luzern, distanzieren die Stadtzürcher die Gegner im …",https://www.srf.ch/sport/fussball/super-league/2-0-sieg-in-luzern-der-fcz-marschiert-weiter-unaufhaltsam-richtung-titel,https://www.srf.ch/sport/fussball/super-league/2-0-sieg-in-luzern-der-fcz-marschiert-weiter-unaufhaltsam-richtung-titel,sub
FCL fordert Leader FCZ,Formstark: Luzerner Aufwärtstrend im Abstiegskampf,2022-03-02 09:35:00+00:00,Die Lage des FC Luzern ist weiterhin bedrohlich. Zuletzt lief es den Innerschweizern … Am 21. Dezember stellte der FC Luzern Mario Frick als neuen Trainer vor. Der Liechtensteiner …,https://www.srf.ch/sport/fussball/super-league/fcl-fordert-leader-fcz-formstark-luzerner-aufwaertstrend-im-abstiegskampf,https://www.srf.ch/sport/fussball/super-league/fcl-fordert-leader-fcz-formstark-luzerner-aufwaertstrend-im-abstiegskampf,sub
Chaoten provozieren Unterbruch,Luzerns Abubakar markiert im Kellerduell den Chef,2022-02-27 18:45:00+00:00,Luzern schlägt Lausanne in der 23. Runde der Super League auswärts mit 2:1 … und damit einen frühen Schock hinnehmen: Luzerns Mohamed Dräger nutzte die inexistente Störarbeit …,https://www.srf.ch/sport/fussball/super-league/chaoten-provozieren-unterbruch-luzerns-abubakar-markiert-im-kellerduell-den-chef,https://www.srf.ch/sport/fussball/super-league/chaoten-provozieren-unterbruch-luzerns-abubakar-markiert-im-kellerduell-den-chef,sub
Grossanlass Luzerner Fasnacht,Luzern rüstet sich für den Grossansturm der Fasnächtler,2022-02-23 15:03:00+00:00,Die Luzerner Fasnacht ist der erste Grossanlass seit den Corona-Lockerungen. Der Menschen … über dem Seebecken in der Stadt Luzern der Urknall. Es wird auf dem Kapell …,https://www.srf.ch/news/schweiz/grossanlass-luzerner-fasnacht-luzern-ruestet-sich-fuer-den-grossansturm-der-fasnaechtler,https://www.srf.ch/news/schweiz/grossanlass-luzerner-fasnacht-luzern-ruestet-sich-fuer-den-grossansturm-der-fasnaechtler,sub
Spiel mit wenig Lichtblicken,Luzern erzielt das 1:1 gegen Servette spät und holt einen Punkt,2022-02-20 18:37:00+00:00,Servette und Luzern teilen sich in der 22. Runde der Super League die Punkte. Die … Valls' Steilpass am schnellsten und liess Luzern-Keeper Marius Müller mit einem Schuss …,https://www.srf.ch/sport/fussball/super-league/spiel-mit-wenig-lichtblicken-luzern-erzielt-das-1-1-gegen-servette-spaet-und-holt-einen-punkt,https://www.srf.ch/sport/fussball/super-league/spiel-mit-wenig-lichtblicken-luzern-erzielt-das-1-1-gegen-servette-spaet-und-holt-einen-punkt,sub
Kanton Luzern,Kriens überwacht seine Schulkinder bald per GPS,2022-02-18 12:10:00+00:00,"Die Stadt Kriens in Luzern begegnet diesem Problem nun mit einer ungewöhnlichen Idee. Sie wird … sollen, daran tüftelt aktuell  der Verein «Labor Luzern». Die Stadt hat der öffentlichen Werkstatt für …",https://www.srf.ch/news/schweiz/kanton-luzern-kriens-ueberwacht-seine-schulkinder-bald-per-gps,https://www.srf.ch/news/schweiz/kanton-luzern-kriens-ueberwacht-seine-schulkinder-bald-per-gps,sub
Mit Umzügen und Tagwache,Luzerner Fasnacht findet ohne Einschränkungen statt,2022-02-16 17:26:00+00:00,Nach Aufhebung der Massnahmen wartet nächste Woche bereits das erste grosse Fest. Die Luzerner Fasnacht … Eine Woche nach Aufhebung der meisten Corona-Massnahmen steigt in Luzern die grösste Party …,https://www.srf.ch/news/schweiz/mit-umzuegen-und-tagwache-luzerner-fasnacht-findet-ohne-einschraenkungen-statt,https://www.srf.ch/news/schweiz/mit-umzuegen-und-tagwache-luzerner-fasnacht-findet-ohne-einschraenkungen-statt,sub
News aus der Super League,YB verstärkt sich mit Fernandes – neuer Stürmer für Luzern,2022-02-15 11:01:00+00:00,Der FC Luzern hat bis Saisonende leihweise den österreichischen Stürmer Marko Kvasina …,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-yb-verstaerkt-sich-mit-fernandes-neuer-stuermer-fuer-luzern,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-yb-verstaerkt-sich-mit-fernandes-neuer-stuermer-fuer-luzern,sub
1. Sieg seit Oktober 2021,Luzern beendet gegen Sion 112-tägige Durststrecke ,2022-02-13 18:33:00+00:00,Luzern besiegt Sion in der 21. Runde der Super League zuhause mit 1:0 und … Nach knapp einer Stunde belohnte sich der FC Luzern endlich für seine aufopferungs …,https://www.srf.ch/sport/fussball/super-league/1-sieg-seit-oktober-2021-luzern-beendet-gegen-sion-112-taegige-durststrecke,https://www.srf.ch/sport/fussball/super-league/1-sieg-seit-oktober-2021-luzern-beendet-gegen-sion-112-taegige-durststrecke,sub
Abstimmung Stadt Luzern,Stadt Luzern lehnt unterirdische Velostation ab,2022-02-12 19:34:00+00:00,"Überraschung in der Stadt Luzern: Nein zur unterirdischen Velostation. Die Stimmbevölkerung lehnt sie mit … Rückschlag für die Veloförderung in der Stadt Luzern», sagt Marta Lehmann vom Verkehrsclub VCS …",https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-stadt-luzern-lehnt-unterirdische-velostation-ab,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-stadt-luzern-lehnt-unterirdische-velostation-ab,sub
Abstimmung Kanton Luzern,Deutliches Ja zur Finanzspritze für das Kantonsspital Luzern,2022-02-12 19:23:00+00:00,In Form von Dividenden profitieren soll davon auch der Aktionär Kanton Luzern. Das Kantons …,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-deutliches-ja-zur-finanzspritze-fuer-das-kantonsspital-luzern,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-deutliches-ja-zur-finanzspritze-fuer-das-kantonsspital-luzern,sub
Auslosung Cup-Halbfinals,Titelverteidiger Luzern reist ins Tessin – FCSG zu Yverdon,2022-02-10 20:51:00+00:00,"… zwischen dem FC Lugano und Titelverteidiger Luzern. Im anderen Duell kämpfen Yverdon aus der … Voser hat ergeben, dass sich Titelverteidiger Luzern und der unterlegene Finalist St. Gallen im …",https://www.srf.ch/sport/fussball/schweizer-cup/auslosung-cup-halbfinals-titelverteidiger-luzern-reist-ins-tessin-fcsg-zu-yverdon,https://www.srf.ch/sport/fussball/schweizer-cup/auslosung-cup-halbfinals-titelverteidiger-luzern-reist-ins-tessin-fcsg-zu-yverdon,sub
Kantonsspital Luzern,«Bei der Omikron-Welle könnte man von einem Swiss-Paradox reden»,2022-02-10 10:23:00+00:00,SRF News: Im Kantonsspital Luzern haben Sie im Dezember noch mit Engpässen gerechnet und … auf die Beine kommen. Das Kantonsspital Luzern hat bereits letztes Jahr eine Sprechstunde für …,https://www.srf.ch/news/schweiz/kantonsspital-luzern-bei-der-omikron-welle-koennte-man-von-einem-swiss-paradox-reden,https://www.srf.ch/news/schweiz/kantonsspital-luzern-bei-der-omikron-welle-koennte-man-von-einem-swiss-paradox-reden,sub
5:0-Sieg in Biel,Luzern schiesst sich im Cup den Frust von der Seele,2022-02-09 22:23:00+00:00,"Titelverteidiger Luzern gewinnt den Cup-Viertelfinal gegen den FC Biel ungefährdet mit … Affolter, der von 2014 bis 2017 für Luzern gekickt hatte, sein Team noch selbst: Nach …",https://www.srf.ch/sport/fussball/schweizer-cup/5-0-sieg-in-biel-luzern-schiesst-sich-im-cup-den-frust-von-der-seele,https://www.srf.ch/sport/fussball/schweizer-cup/5-0-sieg-in-biel-luzern-schiesst-sich-im-cup-den-frust-von-der-seele,sub
Viertelfinal in Biel,Im Cup soll beim FC Luzern der berühmte Knoten platzen,2022-02-09 10:44:00+00:00,"«Endlich wieder Cup!», wird man sich in der Innerschweiz denken. Der FC Luzern trifft … Verfolgen Sie den Cup-Viertelfinal zwischen Biel und Luzern am Mittwoch ab 20 …",https://www.srf.ch/sport/fussball/schweizer-cup/viertelfinal-in-biel-im-cup-soll-beim-fc-luzern-der-beruehmte-knoten-platzen,https://www.srf.ch/sport/fussball/schweizer-cup/viertelfinal-in-biel-im-cup-soll-beim-fc-luzern-der-beruehmte-knoten-platzen,sub
1:2 in Lugano,Luzern verliert auch 2. Spiel unter Frick,2022-02-06 18:29:00+00:00,"Lugano schlägt den FC Luzern in der 20. Super-League-Runde zuhause mit … nur noch 3 Punkten Rückstand auf YB. Luzern bleibt das Liga-Schlusslicht, einen …",https://www.srf.ch/sport/fussball/super-league/1-2-in-lugano-luzern-verliert-auch-2-spiel-unter-frick,https://www.srf.ch/sport/fussball/super-league/1-2-in-lugano-luzern-verliert-auch-2-spiel-unter-frick,sub
Weniger Corona-Massnahmen,Gute Chancen für eine ganz normale Luzerner Fasnacht,2022-02-03 11:14:00+00:00,Nach den Vorschlägen des Bundesrates will der Luzerner Gesundheitsdirektor die Fasnacht mit … Die Luzerner Fasnacht kommt bald. Am 24. Februar ist Schmutziger Donnerstag und damit Start …,https://www.srf.ch/news/schweiz/weniger-corona-massnahmen-gute-chancen-fuer-eine-ganz-normale-luzerner-fasnacht,https://www.srf.ch/news/schweiz/weniger-corona-massnahmen-gute-chancen-fuer-eine-ganz-normale-luzerner-fasnacht,sub
News aus der Super League,"FC Luzern: Domgjoni geht, Dräger kommt",2022-02-02 11:55:00+00:00,"David Nue Domgjonas, bekannt als David Domgjoni, wechselt per sofort vom FC Luzern zu Bruk …",https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-fc-luzern-domgjoni-geht-draeger-kommt,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-fc-luzern-domgjoni-geht-draeger-kommt,sub
Öffentlichkeitsgesetz,Luzern will nicht länger die Dunkelkammer der Nation sein,2022-02-01 17:04:00+00:00,In den meisten Kantonen gilt das Öffentlichkeitsprinzip. Luzern setzt auf Geheimhaltung – doch … meisten Kantone folgten nach. Nur einer hat sich bis heute standhaft dagegen gewehrt: Luzern.,https://www.srf.ch/news/schweiz/oeffentlichkeitsgesetz-luzern-will-nicht-laenger-die-dunkelkammer-der-nation-sein,https://www.srf.ch/news/schweiz/oeffentlichkeitsgesetz-luzern-will-nicht-laenger-die-dunkelkammer-der-nation-sein,sub
3:0-Sieg gegen Schlusslicht,Auch ohne Cabral: Basel gewinnt in Luzern,2022-01-30 18:39:00+00:00,Der FC Basel schlägt Luzern zum Auftakt in die Rückrunde der Super League auswärts mit … 3:0-Sieg gegen Schlusslicht Luzern bleibt der FCB im Gleichschritt mit …,https://www.srf.ch/sport/fussball/super-league/3-0-sieg-gegen-schlusslicht-auch-ohne-cabral-basel-gewinnt-in-luzern,https://www.srf.ch/sport/fussball/super-league/3-0-sieg-gegen-schlusslicht-auch-ohne-cabral-basel-gewinnt-in-luzern,sub
Der Abstieg droht,Der FC Luzern hat in der Rückrunde nur ein Ziel,2022-01-28 17:52:00+00:00,Neo-Trainer Mario Frick startet mit dem FC Luzern am Sonntag gegen Basel in … Rolle.» Komplett neu ist die Situation in Luzern derweil nicht. Schon in der letzten …,https://www.srf.ch/sport/fussball/super-league/der-abstieg-droht-der-fc-luzern-hat-in-der-rueckrunde-nur-ein-ziel,https://www.srf.ch/sport/fussball/super-league/der-abstieg-droht-der-fc-luzern-hat-in-der-rueckrunde-nur-ein-ziel,sub
News aus dem Fussball,Luzern holt weiteren Verteidiger – Renzetti-Nachfolger gewählt,2022-01-26 10:05:00+00:00,Das Super-League-Schlusslicht Luzern verstärkt seine Innenverteidigung mit einem Neu …,https://www.srf.ch/sport/fussball/super-league/news-aus-dem-fussball-luzern-holt-weiteren-verteidiger-renzetti-nachfolger-gewaehlt,https://www.srf.ch/sport/fussball/super-league/news-aus-dem-fussball-luzern-holt-weiteren-verteidiger-renzetti-nachfolger-gewaehlt,sub
Luzerner Stadtrat winkt ab,Dem Regenbogen-Veloweg steht das Gesetz im Weg,2022-01-25 11:40:00+00:00,Die Luzerner Grünen wollen einen Regenbogen-Weg als Zeichen für Toleranz. Nur: Das Gesetz … Vorbild der Luzerner Grünen ist die niederländische Universität Utrecht. Dort gibt es seit letztem Sommer …,https://www.srf.ch/news/schweiz/luzerner-stadtrat-winkt-ab-dem-regenbogen-veloweg-steht-das-gesetz-im-weg,https://www.srf.ch/news/schweiz/luzerner-stadtrat-winkt-ab-dem-regenbogen-veloweg-steht-das-gesetz-im-weg,sub
Abstimmung Kanton Luzern,Soll Luzern das Millionendefizit in der Spitalkasse decken?,2022-01-20 17:20:00+00:00,Wegen Corona schrieb das Luzerner Kantonsspital 2020 grosse Verluste. Nun stimmt Luzern darüber ab … Der Kanton Luzern als Eigner des Luzerner Kantonsspitals will deshalb das Aktienkapital …,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-soll-luzern-das-millionendefizit-in-der-spitalkasse-decken,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-kanton-luzern-soll-luzern-das-millionendefizit-in-der-spitalkasse-decken,sub
Abstimmung Stadt Luzern,Fast 20 Millionen für eine Velostation?,2022-01-20 15:57:00+00:00,… sagt Marta Lehmann vom Verkehrsclub VCS Luzern. Die hohen Kosten seien eine Folge der …,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-fast-20-millionen-fuer-eine-velostation,https://www.srf.ch/news/abstimmungen-13-februar-2022/abstimmung-stadt-luzern-fast-20-millionen-fuer-eine-velostation,sub
Luzerner Kapellbrücke,Neuer Halt für altes Wahrzeichen,2022-01-18 15:16:00+00:00,Sie ist eines der meistfotografierten Sujets Luzerns – ja der Schweiz: die Kapellbrücke mit Wasserturm … und könnten brechen. Das hat die Stadt Luzern bei einem der regelmässigen Kontrolltauchgänge entdeckt …,https://www.srf.ch/news/schweiz/luzerner-kapellbruecke-neuer-halt-fuer-altes-wahrzeichen,https://www.srf.ch/news/schweiz/luzerner-kapellbruecke-neuer-halt-fuer-altes-wahrzeichen,sub
Weitere Sport-News des Tages,Küttel wechselt von den Kadetten zu Kriens-Luzern,2022-01-17 12:53:00+00:00,… wechselt zum NLA-Konkurrenten Kriens-Luzern. Küttel bestritt im Schaffhauser Rückraum bis …,https://www.srf.ch/sport/mehr-sport/weitere-sport-news-des-tages-kuettel-wechselt-von-den-kadetten-zu-kriens-luzern,https://www.srf.ch/sport/mehr-sport/weitere-sport-news-des-tages-kuettel-wechselt-von-den-kadetten-zu-kriens-luzern,sub
News aus der Super League,"Auch FCSG, Luzern, Lausanne und GC bleiben daheim",2022-01-06 14:36:00+00:00,"… Provinz Alicante. Selbiges gilt für den FC Luzern, der nicht nach Marbella fliegt, sowie die …",https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-auch-fcsg-luzern-lausanne-und-gc-bleiben-daheim,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-auch-fcsg-luzern-lausanne-und-gc-bleiben-daheim,sub
Reorganisation ,Luzern will das Netz der Polizeiposten halbieren,2022-01-03 13:12:00+00:00,"Ziel ist es, dass es in jeder Region des Kantons Luzern nur noch einen Haupt … so Winiker, wären insbesondere im Hinterland des Kantons Luzern deutlich mehr Patrouillen möglich als heute.",https://www.srf.ch/news/schweiz/reorganisation-luzern-will-das-netz-der-polizeiposten-halbieren,https://www.srf.ch/news/schweiz/reorganisation-luzern-will-das-netz-der-polizeiposten-halbieren,sub
Engpässe auf Intensivstationen,Luzerner Spitäler rechnen schon im Januar mit Triage-Fällen,2021-12-28 11:40:00+00:00,Die Spital-Verantwortlichen im Kanton Luzern rechnen schon bald mit Engpässen auf den Intensiv … station keine Plätze mehr gibt?&nbsp;Der Kanton Luzern hat heute als erste Region der Schweiz …,https://www.srf.ch/news/schweiz/engpaesse-auf-intensivstationen-luzerner-spitaeler-rechnen-schon-im-januar-mit-triage-faellen,https://www.srf.ch/news/schweiz/engpaesse-auf-intensivstationen-luzerner-spitaeler-rechnen-schon-im-januar-mit-triage-faellen,sub
Nachfolger von Celestini,Frick verlässt Vaduz und übernimmt Trainerposten in Luzern,2021-12-21 15:22:00+00:00,Der neue Trainer des FC Luzern heisst Mario Frick. Der Liechtensteiner folgt bei den Inner … Mario Frick ist wie erwartet der neue Trainer des FC Luzern. Der bis anhin beim …,https://www.srf.ch/sport/fussball/super-league/nachfolger-von-celestini-frick-verlaesst-vaduz-und-uebernimmt-trainerposten-in-luzern,https://www.srf.ch/sport/fussball/super-league/nachfolger-von-celestini-frick-verlaesst-vaduz-und-uebernimmt-trainerposten-in-luzern,sub
Täter sind flüchtig,Bankomaten-Sprengung legte Bahnhof Luzern lahm,2021-12-21 06:48:00+00:00,Die Sprengung eines Bankomaten hat am frühen Dienstagmorgen den Bahnhof Luzern lahmgelegt. Die …,https://www.srf.ch/news/schweiz/taeter-sind-fluechtig-bankomaten-sprengung-legte-bahnhof-luzern-lahm,https://www.srf.ch/news/schweiz/taeter-sind-fluechtig-bankomaten-sprengung-legte-bahnhof-luzern-lahm,sub
0:2-Niederlage gegen Servette,Harmloses Luzern überwintert auf dem Abstiegsplatz,2021-12-18 22:25:00+00:00,Der FC Luzern verabschiedet sich mit einer 0:2-Heimniederlage gegen Servette in … Mit einem guten Gefühl wollte sich Luzern aus einer miserablen Vorrunde verabschieden. Dieses Ziel haben …,https://www.srf.ch/sport/fussball/super-league/0-2-niederlage-gegen-servette-harmloses-luzern-ueberwintert-auf-dem-abstiegsplatz,https://www.srf.ch/sport/fussball/super-league/0-2-niederlage-gegen-servette-harmloses-luzern-ueberwintert-auf-dem-abstiegsplatz,sub
Vor Heimspiel gegen Servette,Kriselndes Luzern will «noch einen raushauen»,2021-12-18 08:26:00+00:00,… Schürpf treffend die (bisherige) Vorrunde des FC Luzern. Die Innerschweizer stecken im Tabellenkeller … Das Spiel der 18. SL-Runde zwischen Luzern und Servette zeigen wir am Samstag …,https://www.srf.ch/sport/fussball/super-league/vor-heimspiel-gegen-servette-kriselndes-luzern-will-noch-einen-raushauen,https://www.srf.ch/sport/fussball/super-league/vor-heimspiel-gegen-servette-kriselndes-luzern-will-noch-einen-raushauen,sub
Gleiche Toilette für alle,Stadt Luzern macht sich stark für Unisex-Toiletten an Schulen,2021-12-17 13:29:00+00:00,"An den Schulen der Stadt Luzern soll es künftig Unisex-Toiletten und - … haben Unisex-Toiletten, die Hochschule Luzern und auch das Hallenbad auf der Allmend.»",https://www.srf.ch/news/schweiz/gleiche-toilette-fuer-alle-stadt-luzern-macht-sich-stark-fuer-unisex-toiletten-an-schulen,https://www.srf.ch/news/schweiz/gleiche-toilette-fuer-alle-stadt-luzern-macht-sich-stark-fuer-unisex-toiletten-an-schulen,sub
News aus der Super League,Luzern löst Vertrag mit Badstuber auf,2021-12-16 18:39:00+00:00,Der FC Luzern und Verteidiger Holger Badstuber gehen getrennte Wege. Die Innerschweizer haben den …,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-loest-vertrag-mit-badstuber-auf,https://www.srf.ch/sport/fussball/super-league/news-aus-der-super-league-luzern-loest-vertrag-mit-badstuber-auf,sub
Luzerner Gerichte,Wechselnde Coronamassnahmen fordern Gerichte heraus,2021-12-14 19:57:00+00:00,Maskenpflicht im öffentlichen Verkehr oder im Einkaufszentrum verweigert. Bei der Luzerner Staatsanwaltschaft gin … die die Beurteilung aufwändig machen. Im Kanton Luzern sind 2021 bis Ende November 60 Fälle …,https://www.srf.ch/news/schweiz/luzerner-gerichte-wechselnde-coronamassnahmen-fordern-gerichte-heraus,https://www.srf.ch/news/schweiz/luzerner-gerichte-wechselnde-coronamassnahmen-fordern-gerichte-heraus,sub
Bob Ross in Luzern,Die entspannte TV-Malerei von Bob Ross schafft es ins Museum,2021-12-06 17:08:00+00:00,In einer Luzerner Privatwohnung werden Bilder des US-Fernsehmalers Bob Ross gezeigt. Annäherung an ein Phänomen.,https://www.srf.ch/kultur/kunst/bob-ross-in-luzern-die-entspannte-tv-malerei-von-bob-ross-schafft-es-ins-museum,https://www.srf.ch/kultur/kunst/bob-ross-in-luzern-die-entspannte-tv-malerei-von-bob-ross-schafft-es-ins-museum,sub
