author,published,summary,is_com_or_sub,link,id
Dieti44,2022-05-08 00:15:00+00:00,Offenbar soll der gläserne Bürger mit allen möglichen Tricks zustande kommen.,com,https://www.20min.ch/comment/402438287701,402438287701.0
BlackSabbath,2022-05-08 00:10:00+00:00,Denkt denn hier auch irgendjemand mal an die Kinder ?,com,https://www.20min.ch/comment/402438287701,402438287701.0
Weihnachtshase,2022-05-07 23:10:00+00:00,"Wer mein Bargeld nicht will, kann es bleiben lassen.",com,https://www.20min.ch/comment/402438287701,402438287701.0
St.Gallerli,2022-05-07 22:37:00+00:00,"Bravo, tolle Entscheidung! ",com,https://www.20min.ch/comment/402438287701,402438287701.0
Scharrukin,2022-05-07 22:27:00+00:00,Luzern ist schon lange eine Stadt die ich meide. Und das aus gutem Grund ,com,https://www.20min.ch/comment/402438287701,402438287701.0
SCHAUKELN,2022-05-07 22:14:00+00:00,Da geht man einfach nicht hin. Immer nur noch befehlen und uns vorschreiben ob wir einatmen türfen oder nicht. Rot/Grüne Stadt muss nichts mehr haben. ,com,https://www.20min.ch/comment/402438287701,402438287701.0
Euer_Hochwohlgeboren,2022-05-07 21:55:00+00:00,Aus solchen Gründen zahle ich (ausser im Denner mit Twint) alles bar. Ich wertde möglichst wenige Datenspuren hinterlassen.,com,https://www.20min.ch/comment/402438287701,402438287701.0
CCZA,2022-05-07 21:45:00+00:00,Bargeld ist nicht mehr zeitgemäss. Wir sollten in die Zukunft schauen.,com,https://www.20min.ch/comment/402438287701,402438287701.0
Hoko67,2022-05-07 21:31:00+00:00,Bargeld hat auch bei jüngeren einen wichtigen Stellenwert und man hat über die Ausgaben besseren Überblick Hegel ob jung oder alt. Wen sie kein Häfele nehmen boykottiert das Fest ,com,https://www.20min.ch/comment/402438287701,402438287701.0
Rychie,2022-05-07 21:23:00+00:00,Dann einfach nicht gehen.,com,https://www.20min.ch/comment/402438287701,402438287701.0
DerKaaan,2022-05-06 03:32:00+00:00,Alles was heute noch aktuell ist wird in paar Jahren ersetzt ,com,https://www.20min.ch/comment/139019297679,139019297679.0
DerRealist,2022-05-06 02:42:00+00:00,In ein paar Jahren fliegen die Autos.....,com,https://www.20min.ch/comment/139019297679,139019297679.0
Basilgarrad,2022-05-06 01:59:00+00:00,Also die Verkehrsschilder erkennt mein Auto immer noch nicht richtig. Übrigens beim Tesla Modell 3 meines Kollegen such nicht. ,com,https://www.20min.ch/comment/139019297679,139019297679.0
JohannLauber,2022-05-06 01:48:00+00:00,In 10 Jahren fahren die Autos hoffentlich endlich autonom lv5. Die FSD beta in den USA von Tesla sieht jedenfalls schon sehr vielversprechend aus. ,com,https://www.20min.ch/comment/139019297679,139019297679.0
Fussballfan1974,2022-05-06 01:02:00+00:00,"""Den Vorwurf, dass wir in der Schweiz nicht perfekt Kreisel fahren können... "" ... und nicht nur das. Es würde ja erfordern, die Situation schnell zu erfassen und zeitnah zu reagieren. Und da ist schon das nächste Auto wieder da.",com,https://www.20min.ch/comment/139019297679,139019297679.0
FM1969FM,2022-05-06 00:55:00+00:00,"Falls es noch keiner gemerkt hat: Es werden neben den Strom verbrauchenden Ampeln auch Strom verbrauchende Leitsysteme und Strom verbrauchende Fahrzeuge als ""Problemlöser"" vorgeschlagen. Das klingt wenig überzeugend angesichts der Gefahr von plötzlich auftretenden Stromausfällen (""Blackouts""), wegen einer Netz-Überlastung und einer noch bei weitem nicht ausreichend vorhandenen Strom-Menge im Netz auf regenerativer Basis. Kreisverkehre arbeiten gänzlich Strom frei über Jahrhunderte und in deren Mitte könnte Strom für die Einspeisung ins Netz erzeugt werden.",com,https://www.20min.ch/comment/139019297679,139019297679.0
Denkversuch,2022-05-05 23:43:00+00:00,"Bluetooth, Funk, WLAN, Radar, optische Kontrolle, u.s.w. Bis zu Satelliten. Die Möglichkeiten sind enorm. Fangt an diese mi den anderen Verkehrsteilnehmer zu verbinden und überprüfen. So, dass der Standort, Richtung und  Geschwindigkeit verglichen werden kann, um eine Kollision zu vermeiden. ",com,https://www.20min.ch/comment/139019297679,139019297679.0
Denkversuch,2022-05-05 23:35:00+00:00,"Wir der Strassen Verkehr durch autonome Fahrzeuge geregelt braucht es auch keine Panzer mehr auf der Strasse. Somit könnte man wahre, ökologische Fahrzeuge bauen, die diese Bezeichnung auch verdienen. ",com,https://www.20min.ch/comment/139019297679,139019297679.0
Bananenbrot53,2022-05-05 23:28:00+00:00,Muss dann jeder Fussgänger mit eine Head-up display durch die Gegend laufen oder wie soll das sonst funktionieren?!,com,https://www.20min.ch/comment/139019297679,139019297679.0
EinwohnerCH,2022-05-05 23:02:00+00:00,"Ampel vs. Kreisel: Ich denke wenn es nur Kreisel gäbe wäre die Ampellobby arbeitslos, ist also m. M. nach auch ein finanzieller Grund. Ich kann mich aber auch irren.....",com,https://www.20min.ch/comment/139019297679,139019297679.0
Haubi3,2022-05-05 12:49:00+00:00,"Kreisel sind keine Stopp-strassen, wissen viele nicht",com,https://www.20min.ch/comment/270821781373,270821781373.0
DinoBag,2022-05-05 12:43:00+00:00,"Kreisel sind schon gut, wenn die Schweizer Autofahrer endlich lernen würden, wie man im und zum Kreisel fährt. Leider zähle ich Schweizer Autofahrer zu den schlechtesten ganz Europas und somit auch als Hauptschuldige an der Verhinderung eines Verkehrsflusses. Beispiele? Würde sagen ca. 80% blinkt falsch beim Kreisel, Linsblinken beim Reinfahren, Nichtblinken beim Rausfahren, 50% macht auch beim leeren Kreisel einen Vollstop oder Rollstop, 50% bremst auf Schritttempo bereits 500m vor dem Kreisel statt lineare Temporeduktion zum Kreisel,  70% fährt erst in den Kreisel rein wenn das Auto im Kreisel bereits 50m aus dem Kreisel rausgefahren ist, 70% fährt nicht in den Kreisel rein auch wenn das Auto im Kreisel mit Blinker signalisiert, dass es rausfährt, 60% fährt Schrittempo im Kreisel, usw. usw.  Sehe ich jeden Tag. Somit reichen 3 Autos pro Kreiseleinfahrt bereits, um Kaos, Verkehrsbehinderungen und Rückstau zu verursachen. Ob Ampeln was bringen? Nein, Schweizer können auch das nicht. ",com,https://www.20min.ch/comment/270821781373,270821781373.0
Denkanstoss,2022-05-05 12:41:00+00:00,"Cool, bauen wir wieder alle Kreisel zu Kreuzungen um. Das schafft viele Arbeitsplätze, kostet den Steuerzahler Millionen und bringt nichts. Dafür können wir dann in 15 Jahren wieder Kreisel bauen.",com,https://www.20min.ch/comment/270821781373,270821781373.0
OrwellWarEinOptimist,2022-05-05 12:38:00+00:00,"Kreisel sind nur dann besser, wenn die Fahrzeuglenker auch Kreiselfaren können, und nicht an der Einfahrt warten bis alle 5 Eingänge frei sind bis sie fahren.",com,https://www.20min.ch/comment/270821781373,270821781373.0
HOSCHY68,2022-05-05 12:35:00+00:00,"Das Problem ist, 90% können nicht Kreiselfahren. ",com,https://www.20min.ch/comment/270821781373,270821781373.0
armer-Leuchter,2022-05-05 12:15:00+00:00,"neue Generation Raumplaner, das Rad mal wieder neu erfinden, besser wird es nicht, aber es gibt Arbeit,... und dann so in 20 Jahren das ganze zurück.... Sinnvoll ...",com,https://www.20min.ch/comment/270821781373,270821781373.0
möögg,2022-05-05 12:15:00+00:00,"Aber Ampeln die Verkehrsteilnehmer erfassen und nicht ewig warten lassen. Wenn man nicht auf der Hauptstrasse steht. Und sonst, viele haben Mühe im Kreisel. Bin auch schon erschrocken weil plötzlich einer auf meine Spur wollte. Unser Kreisel hat 3 Fahrbahnen.",com,https://www.20min.ch/comment/270821781373,270821781373.0
webbly,2022-05-05 11:57:00+00:00,"Das mit den Kreiseln,haben doch Experten geplant?Oder?",com,https://www.20min.ch/comment/270821781373,270821781373.0
Winu 1,2022-05-05 11:55:00+00:00,Man beachte dass so ein Kreisel eine halbe Million im Minimum gekostet hat. Kann man nur machen wenn eine Milchkuh unendlich Geld dem Staat abliefert. ,com,https://www.20min.ch/comment/270821781373,270821781373.0
Tom - Bern,2022-05-05 11:52:00+00:00,"Es gibt ja noch eine Möglichkeit. Und zwar indem man möglichst kreuzungsfrei baut. Wenn zwei Strassen aufeinander treffen, dann einfach die eine Strasse kurzzeitig als Tunnel bauen. Dies kann auch wechselweise erfolgen, so dass eine Strasse im gesamten Verlauf mal oberirdisch und mal unterirdisch verläuft. Kostet etwas mehr, aber so vermeidet man direkten Kreuzungsverkehr. Und wenn dann alle Strassen als Einbahnstrassen gebaut werden, fallen auch nur die Hälfte der Abbiegespuren an.",com,https://www.20min.ch/comment/270821781373,270821781373.0
